LSOA Code,lsoa_label_01,name,imd_rank_15,imd_decile_15,idaci_rank_15,IDACI Decile 15,geometry,imd_rank_19,imd_decile_19,idaci_rank_19,decile_rank
E01015589,Peterborough 004A,Barnack,24196,8,30869,10,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-0.362834,52.660097,0.0 -0.360981,52.659556,0.0 -0.359451,52.660021,0.0 -0.359503,52.65849,0.0 -0.360307,52.658414,0.0 -0.3627,52.6585,0.0 -0.365876,52.659653,0.0 -0.366925,52.659404,0.0 -0.369806,52.65723,0.0 -0.373795,52.656315,0.0 -0.374407,52.655665,0.0 -0.374393,52.654843,0.0 -0.371291,52.653722,0.0 -0.368408,52.653399,0.0 -0.368237,52.654141,0.0 -0.365423,52.653714,0.0 -0.359511,52.653882,0.0 -0.35868,52.650431,0.0 -0.356794,52.649397,0.0 -0.355549,52.649144,0.0 -0.344813,52.648655,0.0 -0.340881,52.648962,0.0 -0.334632,52.650187,0.0 -0.334038,52.650325,0.0 -0.333695,52.648452,0.0 -0.330297,52.63998,0.0 -0.329598,52.636107,0.0 -0.324372,52.636482,0.0 -0.324771,52.632026,0.0 -0.324859,52.630189,0.0 -0.3243,52.629996,0.0 -0.326409,52.625199,0.0 -0.334305,52.625706,0.0 -0.333832,52.623286,0.0 -0.336098,52.623436,0.0 -0.340508,52.622483,0.0 -0.340761,52.62142,0.0 -0.339522,52.615994,0.0 -0.340619,52.6152,0.0 -0.338373,52.613179,0.0 -0.340001,52.612548,0.0 -0.341243,52.614382,0.0 -0.343908,52.614355,0.0 -0.345189,52.611944,0.0 -0.34152,52.61104,0.0 -0.342094,52.610314,0.0 -0.341406,52.607804,0.0 -0.350062,52.607645,0.0 -0.352807,52.60793,0.0 -0.354812,52.610681,0.0 -0.356782,52.610039,0.0 -0.361087,52.607791,0.0 -0.365015,52.606967,0.0 -0.36639,52.606982,0.0 -0.371527,52.608028,0.0 -0.372679,52.606517,0.0 -0.380069,52.603789,0.0 -0.38065,52.603366,0.0 -0.380392,52.602652,0.0 -0.38076,52.601878,0.0 -0.386516,52.599229,0.0 -0.387357,52.598308,0.0 -0.388406,52.598882,0.0 -0.389423,52.598548,0.0 -0.390552,52.599572,0.0 -0.392849,52.597492,0.0 -0.392866,52.596817,0.0 -0.398781,52.594369,0.0 -0.398081,52.592916,0.0 -0.399993,52.592207,0.0 -0.402664,52.594372,0.0 -0.406864,52.601606,0.0 -0.408103,52.601662,0.0 -0.408831,52.602651,0.0 -0.420914,52.611692,0.0 -0.424925,52.612983,0.0 -0.425236,52.613322,0.0 -0.427537,52.61339,0.0 -0.427346,52.614449,0.0 -0.425025,52.617306,0.0 -0.422763,52.621445,0.0 -0.420121,52.624249,0.0 -0.418342,52.624953,0.0 -0.413471,52.626098,0.0 -0.405407,52.627483,0.0 -0.4053,52.628715,0.0 -0.401863,52.629327,0.0 -0.39674,52.631158,0.0 -0.396265,52.631041,0.0 -0.395821,52.630274,0.0 -0.390714,52.631552,0.0 -0.391797,52.633858,0.0 -0.393732,52.638243,0.0 -0.393386,52.638337,0.0 -0.394341,52.644457,0.0 -0.393687,52.644822,0.0 -0.394222,52.645922,0.0 -0.394313,52.648034,0.0 -0.394664,52.648078,0.0 -0.394226,52.648974,0.0 -0.394649,52.650707,0.0 -0.396266,52.652492,0.0 -0.395774,52.653297,0.0 -0.395208,52.653445,0.0 -0.393061,52.6541,0.0 -0.391519,52.65372,0.0 -0.391067,52.654026,0.0 -0.389129,52.653957,0.0 -0.387515,52.654453,0.0 -0.387044,52.654336,0.0 -0.387079,52.65474,0.0 -0.386082,52.654995,0.0 -0.384722,52.65443,0.0 -0.38455,52.655357,0.0 -0.38383,52.655446,0.0 -0.383489,52.655162,0.0 -0.383661,52.655717,0.0 -0.38258,52.656055,0.0 -0.380349,52.655588,0.0 -0.378894,52.656153,0.0 -0.377292,52.655655,0.0 -0.376609,52.656922,0.0 -0.37577,52.657117,0.0 -0.375594,52.65784,0.0 -0.374951,52.657909,0.0 -0.374407,52.657219,0.0 -0.373819,52.657074,0.0 -0.373907,52.657592,0.0 -0.373123,52.657393,0.0 -0.371149,52.658414,0.0 -0.370294,52.657942,0.0 -0.370068,52.658906,0.0 -0.36767,52.659584,0.0 -0.367388,52.660022,0.0 -0.366322,52.660087,0.0 -0.365565,52.659807,0.0 -0.363842,52.660258,0.0 -0.362834,52.660097,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>","23,577",8,27142,9
E01015590,Peterborough 004B,Barnack,24833,8,22150,7,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-0.45272,52.654269,0.0 -0.451354,52.65389,0.0 -0.450504,52.654116,0.0 -0.449043,52.65305,0.0 -0.448245,52.652858,0.0 -0.447437,52.653109,0.0 -0.443264,52.652686,0.0 -0.442397,52.652245,0.0 -0.440857,52.652275,0.0 -0.440307,52.6514,0.0 -0.437397,52.649803,0.0 -0.436337,52.649863,0.0 -0.436101,52.650329,0.0 -0.435298,52.650216,0.0 -0.432116,52.648276,0.0 -0.430329,52.648966,0.0 -0.429157,52.649084,0.0 -0.428242,52.64907,0.0 -0.427294,52.648567,0.0 -0.42668,52.64878,0.0 -0.425939,52.648547,0.0 -0.425761,52.648539,0.0 -0.425389,52.648496,0.0 -0.425061,52.647582,0.0 -0.424257,52.647834,0.0 -0.423727,52.647565,0.0 -0.42334,52.648043,0.0 -0.42084,52.646856,0.0 -0.419767,52.647032,0.0 -0.419169,52.646785,0.0 -0.417243,52.646791,0.0 -0.416678,52.647537,0.0 -0.414782,52.648159,0.0 -0.412863,52.64837,0.0 -0.41042,52.647781,0.0 -0.407676,52.648114,0.0 -0.405906,52.648007,0.0 -0.401178,52.649543,0.0 -0.400146,52.649537,0.0 -0.399203,52.650525,0.0 -0.398499,52.65072,0.0 -0.398486,52.651091,0.0 -0.396266,52.652492,0.0 -0.394649,52.650707,0.0 -0.394226,52.648974,0.0 -0.394664,52.648078,0.0 -0.394313,52.648034,0.0 -0.394222,52.645922,0.0 -0.393687,52.644822,0.0 -0.394341,52.644457,0.0 -0.393386,52.638337,0.0 -0.393732,52.638243,0.0 -0.391797,52.633858,0.0 -0.390714,52.631552,0.0 -0.395821,52.630274,0.0 -0.396265,52.631041,0.0 -0.39674,52.631158,0.0 -0.401863,52.629327,0.0 -0.4053,52.628715,0.0 -0.405407,52.627483,0.0 -0.413471,52.626098,0.0 -0.418342,52.624953,0.0 -0.420121,52.624249,0.0 -0.422763,52.621445,0.0 -0.425025,52.617306,0.0 -0.427346,52.614449,0.0 -0.427537,52.61339,0.0 -0.428948,52.613408,0.0 -0.430091,52.615054,0.0 -0.430626,52.615791,0.0 -0.430464,52.617607,0.0 -0.431443,52.618862,0.0 -0.437958,52.620457,0.0 -0.441661,52.621973,0.0 -0.444917,52.621925,0.0 -0.448423,52.622615,0.0 -0.452056,52.621584,0.0 -0.45482,52.620794,0.0 -0.46095,52.620111,0.0 -0.468493,52.61871,0.0 -0.470987,52.617945,0.0 -0.472121,52.621276,0.0 -0.471088,52.621355,0.0 -0.470985,52.623759,0.0 -0.473529,52.628226,0.0 -0.475336,52.628893,0.0 -0.476786,52.630555,0.0 -0.485178,52.632828,0.0 -0.486133,52.634413,0.0 -0.488085,52.632496,0.0 -0.488849,52.632822,0.0 -0.488959,52.633443,0.0 -0.490831,52.635361,0.0 -0.491139,52.63636,0.0 -0.492221,52.636864,0.0 -0.493929,52.640062,0.0 -0.494799,52.640305,0.0 -0.491513,52.641467,0.0 -0.491855,52.641995,0.0 -0.490764,52.64233,0.0 -0.489126,52.643499,0.0 -0.488368,52.643748,0.0 -0.486184,52.643575,0.0 -0.485756,52.644206,0.0 -0.485073,52.644439,0.0 -0.485583,52.645305,0.0 -0.484345,52.64612,0.0 -0.483475,52.645419,0.0 -0.482411,52.645452,0.0 -0.47527,52.645049,0.0 -0.475979,52.645435,0.0 -0.476026,52.645955,0.0 -0.475193,52.646125,0.0 -0.474539,52.646676,0.0 -0.475846,52.648691,0.0 -0.47212,52.649238,0.0 -0.464029,52.650093,0.0 -0.461869,52.650183,0.0 -0.456444,52.650048,0.0 -0.453062,52.649237,0.0 -0.45272,52.654269,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>","21,180",7,30829,10
E01015591,Peterborough 011A,Bretton North,13629,5,10134,4,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-0.29155,52.604628,0.0 -0.289418,52.603763,0.0 -0.288596,52.603969,0.0 -0.288354,52.604059,0.0 -0.286463,52.602165,0.0 -0.285777,52.60169,0.0 -0.285508,52.601599,0.0 -0.284837,52.600031,0.0 -0.284979,52.600033,0.0 -0.285533,52.599476,0.0 -0.285335,52.599063,0.0 -0.286887,52.59936,0.0 -0.287423,52.598486,0.0 -0.28869,52.59855,0.0 -0.288817,52.597563,0.0 -0.288002,52.594611,0.0 -0.287626,52.593722,0.0 -0.289003,52.593369,0.0 -0.289341,52.592953,0.0 -0.289369,52.593243,0.0 -0.291445,52.593392,0.0 -0.292909,52.594898,0.0 -0.293422,52.596123,0.0 -0.294151,52.596377,0.0 -0.291464,52.600299,0.0 -0.291084,52.600791,0.0 -0.292683,52.601231,0.0 -0.2911,52.603853,0.0 -0.29155,52.604628,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>","10,640",4,6343,2
E01015592,Peterborough 011B,Bretton North,5836,2,4751,2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-0.280235,52.60247,0.0 -0.279983,52.602067,0.0 -0.27954,52.602373,0.0 -0.278649,52.602239,0.0 -0.278819,52.60176,0.0 -0.277843,52.60151,0.0 -0.276948,52.601358,0.0 -0.27735,52.600729,0.0 -0.276177,52.600611,0.0 -0.276325,52.60037,0.0 -0.275465,52.600318,0.0 -0.275036,52.599799,0.0 -0.27396,52.599357,0.0 -0.276655,52.5971,0.0 -0.27714,52.596901,0.0 -0.279412,52.595993,0.0 -0.28041,52.595436,0.0 -0.281234,52.595456,0.0 -0.283392,52.595399,0.0 -0.283855,52.595358,0.0 -0.284137,52.596029,0.0 -0.285992,52.595796,0.0 -0.287097,52.594733,0.0 -0.288002,52.594611,0.0 -0.288817,52.597563,0.0 -0.28869,52.59855,0.0 -0.287423,52.598486,0.0 -0.286887,52.59936,0.0 -0.285335,52.599063,0.0 -0.285533,52.599476,0.0 -0.284979,52.600033,0.0 -0.284837,52.600031,0.0 -0.283032,52.599679,0.0 -0.283114,52.601436,0.0 -0.280847,52.60151,0.0 -0.281215,52.602155,0.0 -0.280235,52.60247,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>","5,012",2,7435,3
E01015593,Peterborough 009A,Bretton North,1246,1,1877,1,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-0.281005,52.608271,0.0 -0.274863,52.604407,0.0 -0.274544,52.604182,0.0 -0.272131,52.602413,0.0 -0.269052,52.599871,0.0 -0.267991,52.598945,0.0 -0.266102,52.597208,0.0 -0.272699,52.595567,0.0 -0.27539,52.594873,0.0 -0.277742,52.593859,0.0 -0.278739,52.59557,0.0 -0.279412,52.595993,0.0 -0.27714,52.596901,0.0 -0.276655,52.5971,0.0 -0.27396,52.599357,0.0 -0.275036,52.599799,0.0 -0.275465,52.600318,0.0 -0.276325,52.60037,0.0 -0.276177,52.600611,0.0 -0.27735,52.600729,0.0 -0.276948,52.601358,0.0 -0.277843,52.60151,0.0 -0.278819,52.60176,0.0 -0.278649,52.602239,0.0 -0.27954,52.602373,0.0 -0.279983,52.602067,0.0 -0.280235,52.60247,0.0 -0.280464,52.602901,0.0 -0.280951,52.603641,0.0 -0.283491,52.603887,0.0 -0.28373,52.60449,0.0 -0.283391,52.604551,0.0 -0.281864,52.605068,0.0 -0.28329,52.606752,0.0 -0.281672,52.607718,0.0 -0.28138,52.607546,0.0 -0.281005,52.608271,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>","1,723",1,2389,1
E01015594,Peterborough 011C,Bretton North,5240,2,8772,3,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-0.278739,52.59557,0.0 -0.277742,52.593859,0.0 -0.279174,52.592757,0.0 -0.280243,52.591358,0.0 -0.280799,52.589085,0.0 -0.280897,52.588027,0.0 -0.280953,52.58755,0.0 -0.281258,52.584128,0.0 -0.283946,52.584403,0.0 -0.285194,52.585068,0.0 -0.284648,52.585256,0.0 -0.286504,52.585715,0.0 -0.2872,52.58488,0.0 -0.288062,52.585108,0.0 -0.288549,52.584741,0.0 -0.289532,52.585314,0.0 -0.28852,52.586101,0.0 -0.289692,52.586481,0.0 -0.288473,52.588164,0.0 -0.287924,52.588812,0.0 -0.28683,52.58851,0.0 -0.287121,52.590129,0.0 -0.286722,52.591347,0.0 -0.287799,52.591653,0.0 -0.289341,52.592953,0.0 -0.289003,52.593369,0.0 -0.287626,52.593722,0.0 -0.288002,52.594611,0.0 -0.287097,52.594733,0.0 -0.285992,52.595796,0.0 -0.284137,52.596029,0.0 -0.283855,52.595358,0.0 -0.283392,52.595399,0.0 -0.281234,52.595456,0.0 -0.28041,52.595436,0.0 -0.279412,52.595993,0.0 -0.278739,52.59557,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>","4,693",2,7097,3
E01015595,Peterborough 011D,Bretton North,3776,2,5509,2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-0.285194,52.585068,0.0 -0.283946,52.584403,0.0 -0.281258,52.584128,0.0 -0.282254,52.581101,0.0 -0.285944,52.582095,0.0 -0.286243,52.581895,0.0 -0.289809,52.582035,0.0 -0.290544,52.582124,0.0 -0.291566,52.582255,0.0 -0.291736,52.58204,0.0 -0.291964,52.581751,0.0 -0.294215,52.582327,0.0 -0.291917,52.584294,0.0 -0.290563,52.584759,0.0 -0.290091,52.584969,0.0 -0.289532,52.585314,0.0 -0.288549,52.584741,0.0 -0.288062,52.585108,0.0 -0.2872,52.58488,0.0 -0.286504,52.585715,0.0 -0.284648,52.585256,0.0 -0.285194,52.585068,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>","4,016",2,4383,2
E01015596,Peterborough 009B,Bretton North,4314,2,3294,2,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-0.281005,52.608271,0.0 -0.28138,52.607546,0.0 -0.281672,52.607718,0.0 -0.28329,52.606752,0.0 -0.281864,52.605068,0.0 -0.283391,52.604551,0.0 -0.28373,52.60449,0.0 -0.283491,52.603887,0.0 -0.280951,52.603641,0.0 -0.280464,52.602901,0.0 -0.280235,52.60247,0.0 -0.281215,52.602155,0.0 -0.280847,52.60151,0.0 -0.283114,52.601436,0.0 -0.283032,52.599679,0.0 -0.284837,52.600031,0.0 -0.285508,52.601599,0.0 -0.285777,52.60169,0.0 -0.286463,52.602165,0.0 -0.288354,52.604059,0.0 -0.288596,52.603969,0.0 -0.288759,52.605142,0.0 -0.287875,52.606768,0.0 -0.289696,52.609413,0.0 -0.287891,52.611062,0.0 -0.293706,52.613148,0.0 -0.297333,52.615134,0.0 -0.296729,52.615677,0.0 -0.297969,52.616294,0.0 -0.296796,52.617892,0.0 -0.296593,52.617757,0.0 -0.283257,52.609625,0.0 -0.281005,52.608271,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>","3,182",1,5873,2
E01015597,Peterborough 011E,Bretton South,2977,1,763,1,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-0.289809,52.582035,0.0 -0.286243,52.581895,0.0 -0.285944,52.582095,0.0 -0.282254,52.581101,0.0 -0.282511,52.580635,0.0 -0.282687,52.580344,0.0 -0.284188,52.578439,0.0 -0.285685,52.577118,0.0 -0.286582,52.576489,0.0 -0.287401,52.57706,0.0 -0.288185,52.576932,0.0 -0.288324,52.576637,0.0 -0.289996,52.577533,0.0 -0.290579,52.577169,0.0 -0.290092,52.576555,0.0 -0.290683,52.57629,0.0 -0.291614,52.576519,0.0 -0.292516,52.577243,0.0 -0.292426,52.577646,0.0 -0.290754,52.578008,0.0 -0.290053,52.578331,0.0 -0.289631,52.57855,0.0 -0.288373,52.579799,0.0 -0.288065,52.580766,0.0 -0.289509,52.581112,0.0 -0.289467,52.580796,0.0 -0.290182,52.580593,0.0 -0.291736,52.58204,0.0 -0.291566,52.582255,0.0 -0.290544,52.582124,0.0 -0.289809,52.582035,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>","2,868",1,1917,1
E01015598,Peterborough 015A,Bretton South,26507,9,16492,6,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-0.294215,52.582327,0.0 -0.291964,52.581751,0.0 -0.291736,52.58204,0.0 -0.290182,52.580593,0.0 -0.289467,52.580796,0.0 -0.289509,52.581112,0.0 -0.288065,52.580766,0.0 -0.288373,52.579799,0.0 -0.289631,52.57855,0.0 -0.290053,52.578331,0.0 -0.290754,52.578008,0.0 -0.292426,52.577646,0.0 -0.292516,52.577243,0.0 -0.291614,52.576519,0.0 -0.290683,52.57629,0.0 -0.290092,52.576555,0.0 -0.290579,52.577169,0.0 -0.289996,52.577533,0.0 -0.288324,52.576637,0.0 -0.288185,52.576932,0.0 -0.287401,52.57706,0.0 -0.286582,52.576489,0.0 -0.288736,52.575256,0.0 -0.291137,52.574172,0.0 -0.291839,52.573887,0.0 -0.294769,52.57276,0.0 -0.296365,52.572337,0.0 -0.30079,52.571878,0.0 -0.305924,52.57248,0.0 -0.305029,52.574136,0.0 -0.303556,52.574893,0.0 -0.303857,52.575464,0.0 -0.303512,52.576146,0.0 -0.300881,52.576108,0.0 -0.298697,52.577322,0.0 -0.298765,52.579437,0.0 -0.297898,52.579693,0.0 -0.297523,52.580192,0.0 -0.294215,52.582327,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>","22,581",7,19381,6
